# File: L245.TechCoef_CHINA.csv
# Title: Municipal water withdrawal and consumption efficiencies
# Units: NA
# Description: Withdrawal efficiencies bound to consumption and appropriate minicam.energy.input appended
# Column types: ccccncnc
# ----------
region,supplysector,subsector,technology,year,minicam.energy.input,coefficient,market.name
GX,municipal water,municipal water,municipal water,2021,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2025,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2025,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2030,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2030,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2035,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2035,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2040,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2040,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2045,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2045,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2050,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2050,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2055,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2055,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2060,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2060,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2065,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2065,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2070,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2070,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2075,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2075,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2080,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2080,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2085,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2085,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2090,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2090,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2095,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2095,water_td_muni_W,1,GX
GX,municipal water,municipal water,municipal water,2100,water_td_muni_C,0.52897,GX
GX,municipal water,municipal water,municipal water,2100,water_td_muni_W,1,GX
GZ,municipal water,municipal water,municipal water,1975,water_td_muni_C,0.50866,GZ
GZ,municipal water,municipal water,municipal water,1975,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,1990,water_td_muni_C,0.50866,GZ
GZ,municipal water,municipal water,municipal water,1990,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2005,water_td_muni_C,0.50866,GZ
GZ,municipal water,municipal water,municipal water,2005,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2010,water_td_muni_C,0.50288,GZ
GZ,municipal water,municipal water,municipal water,2010,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2015,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2015,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2021,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2021,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2025,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2025,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2030,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2030,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2035,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2035,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2040,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2040,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2045,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2045,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2050,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2050,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2055,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2055,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2060,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2060,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2065,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2065,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2070,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2070,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2075,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2075,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2080,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2080,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2085,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2085,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2090,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2090,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2095,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2095,water_td_muni_W,1,GZ
GZ,municipal water,municipal water,municipal water,2100,water_td_muni_C,0.57227,GZ
GZ,municipal water,municipal water,municipal water,2100,water_td_muni_W,1,GZ
